Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,/booking/3293,1,0,161.29440002259798,161.29440002259798,161.29440002259798,161.29440002259798,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3294,1,0,162.4127000104636,162.4127000104636,162.4127000104636,162.4127000104636,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3295,1,0,168.55630002100952,168.55630002100952,168.55630002100952,168.55630002100952,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3297,1,0,161.42769998987205,161.42769998987205,161.42769998987205,161.42769998987205,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3298,1,0,163.53399999206886,163.53399999206886,163.53399999206886,163.53399999206886,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3299,1,0,167.39899999811314,167.39899999811314,167.39899999811314,167.39899999811314,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3300,1,0,165.08799997973256,165.08799997973256,165.08799997973256,165.08799997973256,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3301,1,0,166.97920000297017,166.97920000297017,166.97920000297017,166.97920000297017,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3302,1,0,166.1819999862928,166.1819999862928,166.1819999862928,166.1819999862928,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3305,1,0,162.0233999856282,162.0233999856282,162.0233999856282,162.0233999856282,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3306,1,0,162.9077999969013,162.9077999969013,162.9077999969013,162.9077999969013,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3308,1,0,161.5274999930989,161.5274999930989,161.5274999930989,161.5274999930989,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3309,1,0,166.4877000148408,166.4877000148408,166.4877000148408,166.4877000148408,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3310,1,0,162.89019997930154,162.89019997930154,162.89019997930154,162.89019997930154,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3311,1,0,166.11349998856895,166.11349998856895,166.11349998856895,166.11349998856895,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3312,1,0,165.4162000049837,165.4162000049837,165.4162000049837,165.4162000049837,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3313,1,0,165.54369998630136,165.54369998630136,165.54369998630136,165.54369998630136,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3314,1,0,165.16440000850707,165.16440000850707,165.16440000850707,165.16440000850707,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3315,1,0,169.85659999772906,169.85659999772906,169.85659999772906,169.85659999772906,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3318,1,0,170.07779999403283,170.07779999403283,170.07779999403283,170.07779999403283,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3319,1,0,167.3218999931123,167.3218999931123,167.3218999931123,167.3218999931123,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3320,1,0,167.2604999912437,167.2604999912437,167.2604999912437,167.2604999912437,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3321,1,0,165.85320001468062,165.85320001468062,165.85320001468062,165.85320001468062,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3322,1,0,166.86310002114624,166.86310002114624,166.86310002114624,166.86310002114624,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3323,1,0,166.2306000071112,166.2306000071112,166.2306000071112,166.2306000071112,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3324,1,0,166.53179997229017,166.53179997229017,166.53179997229017,166.53179997229017,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3325,1,0,163.26550001394935,163.26550001394935,163.26550001394935,163.26550001394935,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3326,1,0,162.68639999907464,162.68639999907464,162.68639999907464,162.68639999907464,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3327,1,0,161.45079999114387,161.45079999114387,161.45079999114387,161.45079999114387,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3332,1,0,159.0643999807071,159.0643999807071,159.0643999807071,159.0643999807071,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3333,1,0,164.5839000120759,164.5839000120759,164.5839000120759,164.5839000120759,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3334,1,0,164.99610000755638,164.99610000755638,164.99610000755638,164.99610000755638,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3335,1,0,165.1756000064779,165.1756000064779,165.1756000064779,165.1756000064779,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3336,1,0,167.7198999968823,167.7198999968823,167.7198999968823,167.7198999968823,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3337,1,0,165.01210001297295,165.01210001297295,165.01210001297295,165.01210001297295,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3338,1,0,166.88810000778176,166.88810000778176,166.88810000778176,166.88810000778176,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
